strategy,total_trades,win_rate_pct,avg_rr,expectancy_inr,profit_factor,sharpe_ratio,max_drawdown_pct,total_net_pnl,gross_pnl,total_cost_drag,annual_return_pct,avg_hold_mins,target_hit_pct,sl_hit_pct,eod_close_pct,regime_blocked_days,confidence_filtered,trade_cap_blocked
ORB_15,221,39.8,0.54,-643.0,0.62,-3.04,14.88,-142053.0,71063.0,213116.0,-14.2,128.0,12.7,10.9,0.9,4,20,253
VWAP_PULLBACK,159,32.1,1.17,-2792.0,0.41,-6.76,46.89,-443908.0,-4019.0,439889.0,-44.4,94.0,25.8,56.6,17.6,4,0,96
